frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1746867577.512601000,0.001749000,1,64,10.0.3.7,10.0.3.1,,,,,,,,,,,,,98,1
1746867577.512733000,0.000132000,1,255,10.0.3.1,10.0.3.7,,,,,,,,,,,,,98,1
1746867577.512761000,0.000028000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5318,106,104,5888,,104,,170,1
1746867577.512961000,0.000200000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,5422,0,61440,,,,66,1
1746867577.512967000,0.000006000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5422,106,144,5888,,144,,210,1
1746867577.513091000,0.000124000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,5566,0,61312,,,,66,1
1746867577.514296000,0.001205000,,,,,,,,,,,,,,,,,42,1
1746867577.514692000,0.000396000,,,,,,,,,,,,,,,,,60,1
1746867577.514760000,0.000068000,1,64,10.0.3.7,10.0.3.2,,,,,,,,,,,,,98,1
1746867577.515669000,0.000909000,1,128,10.0.3.2,10.0.3.7,,,,,,,,,,,,,98,1
1746867577.515828000,0.000159000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5566,106,103,5888,,103,,169,1
1746867577.516108000,0.000280000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,5669,0,61312,,,,66,1
1746867577.516137000,0.000029000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5669,106,144,5888,,144,,210,1
1746867577.516314000,0.000177000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,5813,0,61184,,,,66,1
1746867577.516586000,0.000272000,1,64,10.0.3.7,10.0.3.3,,,,,,,,,,,,,98,1
1746867577.516734000,0.000148000,1,255,10.0.3.3,10.0.3.7,,,,,,,,,,,,,98,1
1746867577.516758000,0.000024000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5813,106,104,5888,,104,,170,1
1746867577.516912000,0.000154000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,5917,0,61184,,,,66,1
1746867577.516917000,0.000005000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5917,106,144,5888,,144,,210,1
1746867577.517032000,0.000115000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6061,0,61056,,,,66,1
1746867577.524197000,0.007165000,,,,,,,,,,,,,,,,,42,1
1746867578.518104000,0.993907000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6061,106,48,5888,,48,,114,1
1746867578.518871000,0.000767000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6109,0,61056,,,,66,1
1746867578.518954000,0.000083000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6109,106,96,5888,,96,,162,1
1746867578.519440000,0.000486000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6205,0,61056,,,,66,1
1746867578.520359000,0.000919000,1,64,10.0.3.7,10.0.3.5,,,,,,,,,,,,,98,1
1746867578.520766000,0.000407000,1,64,10.0.3.5,10.0.3.7,,,,,,,,,,,,,98,1
1746867578.520863000,0.000097000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6205,106,103,5888,,103,,169,1
1746867578.521054000,0.000191000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6308,0,61056,,,,66,1
1746867578.521068000,0.000014000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6308,106,144,5888,,144,,210,1
1746867578.521224000,0.000156000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6452,0,60928,,,,66,1
1746867578.524084000,0.002860000,,,,,,,,,,,,,,,,,42,1
1746867578.524110000,0.000026000,,,,,,,,,,,,,,,,,42,1
1746867578.524320000,0.000210000,,,,,,,,,,,,,,,,,60,1
1746867578.524331000,0.000011000,1,64,10.0.3.7,10.0.3.6,,,,,,,,,,,,,98,1
1746867578.524734000,0.000403000,,,,,,,,,,,,,,,,,60,1
1746867578.524745000,0.000011000,,,,,,,,,,,,,,,,,42,1
1746867578.524884000,0.000139000,1,128,10.0.3.6,10.0.3.7,,,,,,,,,,,,,98,1
1746867578.524920000,0.000036000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6452,106,103,5888,,103,,169,1
1746867578.525085000,0.000165000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6555,0,60928,,,,66,1
1746867578.525091000,0.000006000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6555,106,144,5888,,144,,210,1
1746867578.525205000,0.000114000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6699,0,60800,,,,66,1
1746867578.525672000,0.000467000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6699,106,103,5888,,103,,169,1
1746867578.525805000,0.000133000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6802,0,60800,,,,66,1
1746867578.525809000,0.000004000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6802,106,144,5888,,144,,210,1
1746867578.525922000,0.000113000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6946,0,60672,,,,66,1
1746867578.534196000,0.008274000,,,,,,,,,,,,,,,,,42,1
1746867579.524098000,0.989902000,,,,,,,,,,,,,,,,,42,1
1746867579.526420000,0.002322000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6946,106,48,5888,,48,,114,1
1746867579.526628000,0.000208000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,6994,0,60928,,,,66,1
1746867579.526636000,0.000008000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,6994,106,96,5888,,96,,162,1
1746867579.526765000,0.000129000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7090,0,60928,,,,66,1
1746867579.534233000,0.007468000,,,,,,,,,,,,,,,,,42,1
1746867579.534318000,0.000085000,,,,,,,,,,,,,,,,,42,1
1746867580.527480000,0.993162000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7090,106,48,5888,,48,,114,1
1746867580.528172000,0.000692000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7138,0,60928,,,,66,1
1746867580.528221000,0.000049000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7138,106,96,5888,,96,,162,1
1746867580.528574000,0.000353000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7234,0,60928,,,,66,1
1746867580.534093000,0.005519000,,,,,,,,,,,,,,,,,42,1
1746867580.534119000,0.000026000,,,,,,,,,,,,,,,,,42,1
1746867580.534122000,0.000003000,,,,,,,,,,,,,,,,,42,1
1746867581.529614000,0.995492000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7234,106,50,5888,,50,,116,1
1746867581.530095000,0.000481000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7284,0,60928,,,,66,1
1746867581.530109000,0.000014000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7284,106,97,5888,,97,,163,1
1746867581.530438000,0.000329000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7381,0,60928,,,,66,1
1746867581.534330000,0.003892000,,,,,,,,,,,,,,,,,42,1
1746867581.534450000,0.000120000,,,,,,,,,,,,,,,,,42,1
1746867581.534496000,0.000046000,,,,,,,,,,,,,,,,,42,1
1746867582.504139000,0.969643000,,,,,,,,,,,,,,,,,42,1
1746867582.504414000,0.000275000,,,,,,,,,,,,,,,,,60,1
1746867582.514282000,0.009868000,,,,,,,,,,,,,,,,,42,1
1746867582.514742000,0.000460000,,,,,,,,,,,,,,,,,60,1
1746867582.531364000,0.016622000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7381,106,50,5888,,50,,116,1
1746867582.532003000,0.000639000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7431,0,60928,,,,66,1
1746867582.532058000,0.000055000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,7431,106,97,5888,,97,,163,1
1746867582.532288000,0.000230000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,7528,0,60928,,,,66,1
1746867582.534160000,0.001872000,,,,,,,,,,,,,,,,,42,1
1746867582.534186000,0.000026000,,,,,,,,,,,,,,,,,42,1
1746867582.534191000,0.000005000,,,,,,,,,,,,,,,,,42,1
