frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1747142591.684532000,0.000320000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142592.715954000,1.031422000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142592.716341000,0.000387000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142593.735321000,1.018980000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142593.735782000,0.000461000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142594.757554000,1.021772000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142594.757843000,0.000289000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142595.784735000,1.026892000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142595.785021000,0.000286000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142596.813770000,1.028749000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142596.814035000,0.000265000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142597.835100000,1.021065000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142597.835408000,0.000308000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142598.853286000,1.017878000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142598.853645000,0.000359000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142599.892937000,1.039292000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142599.893202000,0.000265000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142600.905435000,1.012233000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142600.905716000,0.000281000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142601.950742000,1.045026000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142601.951252000,0.000510000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142601.996245000,0.044993000,,,,,,,,,,,,,,,,,42,0
1747142601.996544000,0.000299000,,,,,,,,,,,,,,,,,60,0
1747142602.996737000,1.000193000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142602.996953000,0.000216000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142604.005477000,1.008524000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142604.006263000,0.000786000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142605.021384000,1.015121000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142605.021811000,0.000427000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142606.054070000,1.032259000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142606.054439000,0.000369000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142606.886988000,0.832549000,17,64,10.7.7.4,10.7.7.255,,,138,138,,,,,,,,252,286,0
1747142606.886988000,0.000000000,17,64,10.7.7.4,10.7.7.255,,,138,138,,,,,,,,223,257,0
1747142607.083206000,0.196218000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142607.083470000,0.000264000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142607.548992000,0.465522000,,,,,,,,,,,,,,,,,62,0
1747142608.108994000,0.560002000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142608.109254000,0.000260000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142609.164967000,1.055713000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142609.165175000,0.000208000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142609.731348000,0.566173000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142609.731372000,0.000024000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142610.181318000,0.449946000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142610.181551000,0.000233000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142610.730872000,0.549321000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142610.730900000,0.000028000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142611.209357000,0.478457000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142611.209564000,0.000207000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142611.729888000,0.520324000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142611.729926000,0.000038000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142612.259137000,0.529211000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142612.259388000,0.000251000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142612.729371000,0.469983000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
